company_names,cars_names,engines,cc_battery_capacity,horsepower,total_speed,cars_prices,fuel_types,seats,torque,engine_cc,battery_kwh,has_battery,has_engine,vehicle_type,acceleration_0_100
FERRARI,SF90 STRADALE,V8,3990 cc,963.0,340.0,1100000.0,plug in hyrbrid,2,800.0,3990.0,0.0,0,1,ICE,2.5
ROLLS ROYCE,PHANTOM,V12,6749 cc,563.0,250.0,460000.0,Petrol,5,900.0,6749.0,0.0,0,1,ICE,5.3
Ford,KA+,1.2L Petrol,"1,200 cc",77.5,165.0,13500.0,Petrol,5,120.0,1200.0,0.0,0,1,ICE,10.5
MERCEDES, GT 63 S,V8,"3,982 cc",630.0,250.0,161000.0,Petrol,4,900.0,3982.0,0.0,0,1,ICE,3.2
AUDI,AUDI R8 Gt,V10,"5,204 cc",602.0,320.0,253290.0,Petrol,2,560.0,5204.0,0.0,0,1,ICE,3.6
BMW,Mclaren 720s,V8,"3,994 cc",710.0,341.0,499000.0,Petrol,2,770.0,3994.0,0.0,0,1,ICE,2.9
ASTON MARTIN,VANTAGE F1,V8,"3,982 cc",656.0,314.0,193440.0,Petrol,2,685.0,3982.0,0.0,0,1,ICE,3.6
BENTLEY,Continental GT Azure,V8,"3,996 cc",550.0,318.0,311000.0,Petrol,4,900.0,3996.0,0.0,0,1,ICE,4.0
LAMBORGHINI,VENENO ROADSTER,V12,"6,498 cc",750.0,356.0,4500000.0,Petrol,2,690.0,6498.0,0.0,0,1,ICE,2.9
FERRARI,F8 TRIBUTO,V8,"3,900 cc",710.0,340.0,280000.0,Petrol,2,770.0,3900.0,0.0,0,1,ICE,2.9
FERRARI,812 GTS,V12,6496 cc,789.0,340.0,350000.0,Petrol,2,718.0,6496.0,0.0,0,1,ICE,2.9
FERRARI,PORTOFINO,V8,"3,900 cc",592.0,320.0,210000.0,Petrol,2+2,760.0,3900.0,0.0,0,1,ICE,3.2
FERRARI,ROMA,V8,"3,900 cc",612.0,320.0,230000.0,Petrol,2+2,760.0,3900.0,0.0,0,1,ICE,3.4
FERRARI,MONZA SP2,V12,"6,496 cc",789.0,340.0,1700000.0,Petrol,2,719.0,6496.0,0.0,0,1,ICE,2.9
FERRARI,F8 SPIDER,V8,"3,900 cc",710.0,340.0,280000.0,Petrol,2,770.0,3900.0,0.0,0,1,ICE,2.9
FERRARI,PORTOFINO M,V8,"3,900 cc",612.0,320.0,220000.0,Petrol,2+2,760.0,3900.0,0.0,0,1,ICE,3.2
FERRARI,ROMA SPIDER,V8,"3,900 cc",612.0,320.0,240000.0,Petrol,2+2,760.0,3900.0,0.0,0,1,ICE,3.4
TOYOTA,GR SUPRA,I4,"2,998 cc",382.0,250.0,53900.0,Petrol,2,500.0,2998.0,0.0,0,1,ICE,4.1
TOYOTA,TOYOTA 86,BOXER-4,"1,998 cc",205.0,226.0,27000.0,Petrol,2+2,205.0,1998.0,0.0,0,1,ICE,6.4
TOYOTA,TOYOTA  GR86,BOXER-4,"2,387 cc",228.0,226.0,30000.0,Petrol,4,250.0,2387.0,0.0,0,1,ICE,5.6
TOYOTA,TOYOTA LAND CRUISER,V8,"5,663 cc",381.0,220.0,85000.0,Diesel,7,500.0,5663.0,0.0,0,1,ICE,6.7
TOYOTA,TOYOTA SEQUOIA,V8,"5,663 cc",381.0,200.0,50000.0,Petrol,7,651.0,5663.0,0.0,0,1,ICE,6.9
NISSAN,GT-R,V6,"3,799 cc",600.0,315.0,113000.0,Petrol,4,637.0,3799.0,0.0,0,1,ICE,2.9
NISSAN,370Z,V6,"3,696 cc",332.0,250.0,30000.0,Petrol,2,366.0,3696.0,0.0,0,1,ICE,4.7
NISSAN,Z PROTO,V6,"2,998 cc",400.0,290.0,40000.0,Petrol,2,475.0,2998.0,0.0,0,1,ICE,4.1
NISSAN,ALTIMA,I4,"2,488 cc",188.0,225.0,25000.0,Petrol,5,380.0,2488.0,0.0,0,1,ICE,7.3
NISSAN,MAXIMA,V6,"3,498 cc",300.0,240.0,35000.0,Petrol,5,354.0,3498.0,0.0,0,1,ICE,5.8
NISSAN,SENTRA,I4,"1,998 cc",149.0,200.0,20000.0,Petrol,5,240.0,1998.0,0.0,0,1,ICE,8.2
NISSAN,ROGUE,I4,"2,488 cc",201.0,200.0,28000.0,Petrol,5,270.0,2488.0,0.0,0,1,ICE,7.5
NISSAN,PATHFINDER,V6,"3,498 cc",284.0,225.0,35000.0,Petrol,7,351.0,3498.0,0.0,0,1,ICE,6.5
NISSAN,FRONTIER,V6,"3,799 cc",310.0,180.0,30000.0,Petrol,5,381.0,3799.0,0.0,0,1,ICE,6.8
NISSAN,TITAN,V8,"5,598 cc",400.0,200.0,40000.0,Petrol,5,560.0,5598.0,0.0,0,1,ICE,5.9
ASTON MARTIN,VALKYRIE,V12,"6,496 cc",1160.0,402.0,3200000.0,Hybrid,2,900.0,6496.0,0.0,0,1,ICE,2.5
ASTON MARTIN,VALHALLA,V8,"3,996 cc",1000.0,362.0,1100000.0,Hybrid,2,1000.0,3996.0,0.0,0,1,ICE,2.5
ASTON MARTIN,DBS SUPERLEGGERA,V12,"5,204 cc",715.0,340.0,316000.0,Petrol,2,900.0,5204.0,0.0,0,1,ICE,3.4
ASTON MARTIN,DB11,V12,"5,204 cc",600.0,322.0,208000.0,Petrol,4,700.0,5204.0,0.0,0,1,ICE,3.9
ASTON MARTIN,VANTAGE ,V8,"3,996 cc",503.0,313.0,142000.0,Petrol,2,685.0,3996.0,0.0,0,1,ICE,3.6
ASTON MARTIN,DBX,V8,"3,996 cc",542.0,291.0,189000.0,Petrol,5,700.0,3996.0,0.0,0,1,ICE,4.5
ASTON MARTIN,RAPIDE AMR,V12,"5,935 cc",580.0,328.0,240000.0,Petrol,4,630.0,5935.0,0.0,0,1,ICE,4.2
ASTON MARTIN,VANQUISH,V12,"5,935 cc",580.0,324.0,294000.0,Petrol,2,630.0,5935.0,0.0,0,1,ICE,3.6
ASTON MARTIN,LAGONDA TARAF,V12,"5,935 cc",540.0,314.0,1100000.0,Petrol,4,630.0,5935.0,0.0,0,1,ICE,4.2
ASTON MARTIN,VICTOR,V12,"5,204 cc",836.0,320.0,1300000.0,Petrol,2,821.0,5204.0,0.0,0,1,ICE,2.8
LAMBORGHINI,SIAN,V12,"6,498 cc",819.0,350.0,2800000.0,Hybrid,2,720.0,6498.0,0.0,0,1,ICE,2.8
LAMBORGHINI,AVENTADOR SVJ,V12,"6,498 cc",759.0,350.0,518000.0,Petrol,2,720.0,6498.0,0.0,0,1,ICE,2.8
LAMBORGHINI,HURACAN PERFORMANTE,V10,"5,204 cc",640.0,325.0,274000.0,Petrol,2,600.0,5204.0,0.0,0,1,ICE,2.9
LAMBORGHINI,HURACAN EVO,V10,"5,204 cc",640.0,325.0,261000.0,Petrol,2,600.0,5204.0,0.0,0,1,ICE,2.9
LAMBORGHINI,AVENTADOR SV,V12,"6,498 cc",740.0,350.0,493000.0,Petrol,2,690.0,6498.0,0.0,0,1,ICE,2.8
LAMBORGHINI,URUS ,V8,"3,996 cc",641.0,305.0,211000.0,Petrol,5,850.0,3996.0,0.0,0,1,ICE,3.6
LAMBORGHINI,HURACAN SPYDER,V10,"5,204 cc",610.0,325.0,287000.0,Petrol,2,600.0,5204.0,0.0,0,1,ICE,3.4
LAMBORGHINI,AVENTADOR ROADSTER,V12,"6,498 cc",700.0,350.0,445000.0,Petrol,2,690.0,6498.0,0.0,0,1,ICE,3.0
LAMBORGHINI,HURACAN  PERFORMANTE SPYDER,V10,"5,204 cc",640.0,325.0,308000.0,Petrol,2,600.0,5204.0,0.0,0,1,ICE,3.1
LAMBORGHINI,AVENTADOR S,V12,"6,498 cc",740.0,350.0,421000.0,Petrol,2,690.0,6498.0,0.0,0,1,ICE,2.9
LAMBORGHINI,HURACAN EVO SPYDER,V10,"5,204 cc",640.0,325.0,287000.0,Petrol,2,600.0,5204.0,0.0,0,1,ICE,3.1
LAMBORGHINI,URUS PERFORMANTE,V8,"3,996 cc",641.0,305.0,242000.0,Petrol,5,850.0,3996.0,0.0,0,1,ICE,3.3
LAMBORGHINI,AVENTADOR ULTIMAE,V12,"6,498 cc",769.0,355.0,545000.0,Petrol,2,720.0,6498.0,0.0,0,1,ICE,2.8
LAMBORGHINI,HURACAN EVO RWD,V10,"5,204 cc",610.0,325.0,258000.0,Petrol,2,560.0,5204.0,0.0,0,1,ICE,3.3
LAMBORGHINI,AVENTADOR SVJ ROADSTER,V12,"6,498 cc",759.0,350.0,573000.0,Petrol,2,720.0,6498.0,0.0,0,1,ICE,2.9
LAMBORGHINI,URUS S,V8,"3,996 cc",671.0,305.0,263000.0,Petrol,5,850.0,3996.0,0.0,0,1,ICE,3.3
LAMBORGHINI,HURACAN STO,V10,"5,204 cc",640.0,325.0,327000.0,Petrol,2,565.0,5204.0,0.0,0,1,ICE,3.0
LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE,V12,"6,498 cc",769.0,355.0,545000.0,Petrol,2,720.0,6498.0,0.0,0,1,ICE,2.8
LAMBORGHINI,HURACAN EVO RWD SPYDER,V10,"5,204 cc",610.0,325.0,273000.0,Petrol,2,600.0,5204.0,0.0,0,1,ICE,3.3
LAMBORGHINI,AVENTADOR SVJ XAGO,V12,"6,498 cc",759.0,350.0,603000.0,Petrol,2,720.0,6498.0,0.0,0,1,ICE,2.9
LAMBORGHINI,URUS GRAPHITE CAPSULE,V8,"3,998 cc",641.0,305.0,253000.0,Petrol,5,850.0,3998.0,0.0,0,1,ICE,3.3
LAMBORGHINI,HURACAN STO EVO,V10,"5,204 cc",640.0,325.0,342000.0,Petrol,2,565.0,5204.0,0.0,0,1,ICE,3.0
LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE ROADSTER,V12,"6,498 cc",769.0,355.0,573000.0,Petrol,2,720.0,6498.0,0.0,0,1,ICE,2.8
ROLLS ROYCE ,GHOST,V12,"6,592 cc",591.0,250.0,332000.0,Petrol,5,850.0,6592.0,0.0,0,1,ICE,4.8
ROLLS ROYCE,WRAITH,V12,"6,592 cc",624.0,250.0,330000.0,Petrol,4,870.0,6592.0,0.0,0,1,ICE,4.4
ROLLS ROYCE,DAWN,V12,"6,592 cc",624.0,250.0,360000.0,Petrol,4,870.0,6592.0,0.0,0,1,ICE,4.9
ROLLS ROYCE,CULLINAN,V12,"6,749 cc",563.0,250.0,325000.0,Petrol,5,850.0,6749.0,0.0,0,1,ICE,5.2
ROLLS ROYCE,PHANTOM EXTENDED,V12,"6,749 cc",563.0,250.0,500000.0,Petrol,5,900.0,6749.0,0.0,0,1,ICE,5.3
ROLLS ROYCE,GHOST EXTENDED,V12,"6,592 cc",591.0,250.0,370000.0,Petrol,5,850.0,6592.0,0.0,0,1,ICE,4.8
ROLLS ROYCE,WRAITH BLACK BADGE,V12,"6,592 cc",624.0,250.0,360000.0,Petrol,4,870.0,6592.0,0.0,0,1,ICE,4.3
ROLLS ROYCE,DAWN BLACK BADGE,V12,"6,592 cc",624.0,250.0,390000.0,Petrol,4,870.0,6592.0,0.0,0,1,ICE,4.8
ROLLS ROYCE,CULLINAN BLACK BADGE,V12,"6,749 cc",563.0,250.0,350000.0,Petrol,5,850.0,6749.0,0.0,0,1,ICE,5.1
ROLLS ROYCE,PHANTOM COUPE,V12,"6,749 cc",563.0,250.0,450000.0,Petrol,4,870.0,6749.0,0.0,0,1,ICE,5.3
ROLLS ROYCE,GHOST COUPE,V12,"6,592 cc",591.0,250.0,340000.0,Petrol,4,850.0,6592.0,0.0,0,1,ICE,4.8
ROLLS ROYCE,WRAITH COUPE,V12,"6,592 cc",624.0,250.0,330000.0,Petrol,4,870.0,6592.0,0.0,0,1,ICE,4.4
ROLLS ROYCE,DAWN CONVERTIBLE,V12,"6,592 cc",624.0,250.0,380000.0,Petrol,4,870.0,6592.0,0.0,0,1,ICE,4.9
ROLLS ROYCE,CULLINAN SUV,V12,"6,749 cc",563.0,250.0,320000.0,Petrol,5,850.0,6749.0,0.0,0,1,ICE,5.2
MERCEDES,BENZ S-CLASS S 580,V8,"3,982 cc",496.0,250.0,116000.0,Petrol,5,700.0,3982.0,0.0,0,1,ICE,4.4
MERCEDES,BENZ E-CLASS E 63 S,V8,"3,982 cc",603.0,250.0,104000.0,Petrol,5,850.0,3982.0,0.0,0,1,ICE,3.4
MERCEDES,BENZ CLA 45 AMG,I4,1991 cc,382.0,250.0,53000.0,Petrol,5,500.0,1991.0,0.0,0,1,ICE,4.1
MERCEDES,BENZ GLE 63 S,V8,"3,982 cc",603.0,250.0,113000.0,Petrol,5,850.0,3982.0,0.0,0,1,ICE,4.2
MERCEDES,BENZ S-CLASS S 500,V6,"2,996 cc",429.0,250.0,109000.0,Petrol,5,700.0,2996.0,0.0,0,1,ICE,4.9
MERCEDES,BENZ E-CLASS E 450 ,V6,"2,996 cc",362.0,250.0,62000.0,Petrol,5,500.0,2996.0,0.0,0,1,ICE,5.2
MERCEDES,BENZ CLS 450,V6,"2,996 cc",362.0,250.0,70000.0,Petrol,5,500.0,2996.0,0.0,0,1,ICE,5.2
MERCEDES,BENZ GT 53,V6,"2,996 cc",429.0,250.0,99000.0,Petrol,5,700.0,2996.0,0.0,0,1,ICE,4.5
